,broodYr,dist,stream,fwAge,oAge,return,YEAR,System,StreamID,DistrictID_alternate,dist_name
1,1950,324,4,0,2,0,1953,Kvichak,100,2,Naknek-Kvichak
2,1951,324,4,0,2,0,1954,Kvichak,100,2,Naknek-Kvichak
3,1952,324,4,0,2,0,1955,Kvichak,100,2,Naknek-Kvichak
4,1953,324,4,0,2,0,1956,Kvichak,100,2,Naknek-Kvichak
5,1954,324,4,0,2,0,1957,Kvichak,100,2,Naknek-Kvichak
6,1955,324,4,0,2,0,1958,Kvichak,100,2,Naknek-Kvichak
7,1956,324,4,0,2,0,1959,Kvichak,100,2,Naknek-Kvichak
8,1957,324,4,0,2,8,1960,Kvichak,100,2,Naknek-Kvichak
9,1958,324,4,0,2,0,1961,Kvichak,100,2,Naknek-Kvichak
10,1959,324,4,0,2,0,1962,Kvichak,100,2,Naknek-Kvichak
11,1950,324,4,1,1,0,1953,Kvichak,100,2,Naknek-Kvichak
12,1951,324,4,1,1,0,1954,Kvichak,100,2,Naknek-Kvichak
13,1952,324,4,1,1,0,1955,Kvichak,100,2,Naknek-Kvichak
14,1953,324,4,1,1,0,1956,Kvichak,100,2,Naknek-Kvichak
15,1954,324,4,1,1,0,1957,Kvichak,100,2,Naknek-Kvichak
16,1955,324,4,1,1,0,1958,Kvichak,100,2,Naknek-Kvichak
17,1956,324,4,1,1,13.559,1959,Kvichak,100,2,Naknek-Kvichak
18,1957,324,4,1,1,0,1960,Kvichak,100,2,Naknek-Kvichak
19,1958,324,4,1,1,0,1961,Kvichak,100,2,Naknek-Kvichak
20,1959,324,4,1,1,0,1962,Kvichak,100,2,Naknek-Kvichak
21,1950,324,4,0,3,0,1954,Kvichak,100,2,Naknek-Kvichak
22,1951,324,4,0,3,0,1955,Kvichak,100,2,Naknek-Kvichak
23,1952,324,4,0,3,0,1956,Kvichak,100,2,Naknek-Kvichak
24,1953,324,4,0,3,0,1957,Kvichak,100,2,Naknek-Kvichak
25,1954,324,4,0,3,0,1958,Kvichak,100,2,Naknek-Kvichak
26,1955,324,4,0,3,0,1959,Kvichak,100,2,Naknek-Kvichak
27,1956,324,4,0,3,0,1960,Kvichak,100,2,Naknek-Kvichak
28,1957,324,4,0,3,0,1961,Kvichak,100,2,Naknek-Kvichak
29,1958,324,4,0,3,0,1962,Kvichak,100,2,Naknek-Kvichak
30,1950,324,4,1,2,0,1954,Kvichak,100,2,Naknek-Kvichak
31,1951,324,4,1,2,0,1955,Kvichak,100,2,Naknek-Kvichak
32,1952,324,4,1,2,9954,1956,Kvichak,100,2,Naknek-Kvichak
33,1953,324,4,1,2,91,1957,Kvichak,100,2,Naknek-Kvichak
34,1954,324,4,1,2,81,1958,Kvichak,100,2,Naknek-Kvichak
35,1955,324,4,1,2,249,1959,Kvichak,100,2,Naknek-Kvichak
36,1956,324,4,1,2,24246,1960,Kvichak,100,2,Naknek-Kvichak
37,1957,324,4,1,2,243,1961,Kvichak,100,2,Naknek-Kvichak
38,1958,324,4,1,2,76,1962,Kvichak,100,2,Naknek-Kvichak
39,1950,324,4,2,1,0,1954,Kvichak,100,2,Naknek-Kvichak
40,1951,324,4,2,1,0,1955,Kvichak,100,2,Naknek-Kvichak
41,1952,324,4,2,1,0,1956,Kvichak,100,2,Naknek-Kvichak
42,1953,324,4,2,1,0,1957,Kvichak,100,2,Naknek-Kvichak
43,1954,324,4,2,1,16.705,1958,Kvichak,100,2,Naknek-Kvichak
